id	source	langauge	query	souce_id	url	signature
872	leetcodeTitles	python	Maximum Average Pass Ratio	1792	https://leetcode.com/problems/maximum-average-pass-ratio/	"def maxAverageRatio(self, classes, extraStudents):"
873	leetcodeTitles	python	Remove One Element to Make the Array Strictly Increasing	1909	https://leetcode.com/problems/remove-one-element-to-make-the-array-strictly-increasing/	"def canBeIncreasing(self, nums):"
874	leetcodeTitles	python	Task Scheduler	621	https://leetcode.com/problems/task-scheduler/	"def leastInterval(self, tasks, n):"
875	leetcodeTitles	python	Consecutive Characters	1446	https://leetcode.com/problems/consecutive-characters/	"def maxPower(self, s):"
876	leetcodeTitles	python	Count Servers that Communicate	1267	https://leetcode.com/problems/count-servers-that-communicate/	"def countServers(self, grid):"
877	leetcodeTitles	python	Minimum Time to Make Rope Colorful	1578	https://leetcode.com/problems/minimum-time-to-make-rope-colorful/	"def minCost(self, colors, neededTime):"
878	leetcodeTitles	python	UTF-8 Validation	393	https://leetcode.com/problems/utf-8-validation/	"def validUtf8(self, data):"
879	leetcodeTitles	python	Check If Two String Arrays are Equivalent	1662	https://leetcode.com/problems/check-if-two-string-arrays-are-equivalent/	"def arrayStringsAreEqual(self, word1, word2):"
880	leetcodeTitles	python	Find Unique Binary String	1980	https://leetcode.com/problems/find-unique-binary-string/	"def findDifferentBinaryString(self, nums):"
881	leetcodeTitles	python	Guess Number Higher or Lower II	375	https://leetcode.com/problems/guess-number-higher-or-lower-ii/	"def getMoneyAmount(self, n):"
882	leetcodeTitles	python	Binary Tree Level Order Traversal	102	https://leetcode.com/problems/binary-tree-level-order-traversal/	"def levelOrder(self, root):"
883	leetcodeTitles	python	Jump Game II	227	https://leetcode.com/problems/jump-game-ii/	"def jump(self, nums):"
884	leetcodeTitles	python	Convert 1D Array Into 2D Array	2022	https://leetcode.com/problems/convert-1d-array-into-2d-array/	"def construct2DArray(self, original, m, n):"
885	leetcodeTitles	python	Surface Area of 3D Shapes	892	https://leetcode.com/problems/surface-area-of-3d-shapes/	"def surfaceArea(self, grid):"
886	leetcodeTitles	python	Maximum Difference Between Node and Ancestor	1026	https://leetcode.com/problems/maximum-difference-between-node-and-ancestor/	"def maxAncestorDiff(self, root):"
887	leetcodeTitles	python	X of a Kind in a Deck of Cards	914	https://leetcode.com/problems/x-of-a-kind-in-a-deck-of-cards/	"def hasGroupsSizeX(self, deck):"
888	leetcodeTitles	python	Count of Matches in Tournament	1688	https://leetcode.com/problems/count-of-matches-in-tournament/	"def numberOfMatches(self, n):"
889	leetcodeTitles	python	Largest Substring Between Two Equal Characteres	1624	https://leetcode.com/problems/largest-substring-between-two-equal-characters/	"def maxLengthBetweenEqualCharacters(self, s):"
890	leetcodeTitles	python	Remove K Digits	402	https://leetcode.com/problems/remove-k-digits/	"def removeKdigits(self, num, k):"
891	leetcodeTitles	python	Minimum Score Triangulation of Polygon	1039	https://leetcode.com/problems/minimum-score-triangulation-of-polygon/	"def minScoreTriangulation(self, values):"
892	leetcodeTitles	python	Number of Closed Islands	1254	https://leetcode.com/problems/number-of-closed-islands/	"def closedIsland(self, grid):"
893	leetcodeTitles	python	Maximum Number of Non-Overlapping Subarrays With Sum Equals Target	1546	https://leetcode.com/problems/maximum-number-of-non-overlapping-subarrays-with-sum-equals-target/	"def maxNonOverlapping(self, nums, target):"
894	leetcodeTitles	python	Insufficient Nodes in Root to Leaf Paths	1080	https://leetcode.com/problems/insufficient-nodes-in-root-to-leaf-paths/	"def sufficientSubset(self, root, limit):"
895	leetcodeTitles	python	Convert to Base -2	1017	https://leetcode.com/problems/convert-to-base-2/	"def baseNeg2(self, n):"
896	leetcodeTitles	python	Count Elements With Strictly Smaller and Greater Elements	2148	https://leetcode.com/problems/count-elements-with-strictly-smaller-and-greater-elements/	"def countElements(self, nums):"
897	leetcodeTitles	python	Partition Array for Maximum Sum	1043	https://docs.google.com/spreadsheets/d/1MUtHfwbkWO4W69NaNiwv_hgABNfXZu2M69PNgL8PBXs/edit#gid=0	"def maxSumAfterPartitioning(self, arr, k):"
898	leetcodeTitles	python	Sum of Numbers With Units Digit K	2310	https://leetcode.com/problems/sum-of-numbers-with-units-digit-k/	"def minimumNumbers(self, num, k):"
899	leetcodeTitles	python	Contains Duplicate	217	https://leetcode.com/problems/contains-duplicate/	"def containsDuplicate(self, nums):"
900	leetcodeTitles	python	Minimum Number of Days to Make m Bouquets	1482	https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/	"def minDays(self, bloomDay, m, k):"
901	leetcodeTitles	python	Number of Lines To Write String	806	https://leetcode.com/problems/number-of-lines-to-write-string/	"def numberOfLines(self, widths, s):"
902	leetcodeTitles	python	Set Mismatch	645	https://leetcode.com/problems/set-mismatch/	"def findErrorNums(self, nums):"
903	leetcodeTitles	python	Construct the Rectangle	492	https://leetcode.com/problems/construct-the-rectangle/	"def constructRectangle(self, area):"
904	leetcodeTitles	python	Group Anagrams	49	https://leetcode.com/problems/group-anagrams/	"def groupAnagrams(self, strs):"
905	leetcodeTitles	python	Single Element in a Sorted Array	540	https://leetcode.com/problems/single-element-in-a-sorted-array/	"def singleNonDuplicate(self, nums):"
906	leetcodeTitles	python	Most Visited Sector in a Circular Track	1560	https://leetcode.com/problems/most-visited-sector-in-a-circular-track/	"def mostVisited(self, n, rounds):"
907	leetcodeTitles	python	Add Strings	415	https://leetcode.com/problems/add-strings/	"def addStrings(self, num1, num2):"
908	leetcodeTitles	python	Design Bitset	2166	https://leetcode.com/problems/design-bitset/	"def fix(self, idx):"
909	leetcodeTitles	python	Out of Boundary Paths	576	https://leetcode.com/problems/out-of-boundary-paths/	"def findPaths(self, m, n, maxMove, startRow, startColumn):"
910	leetcodeTitles	python	Check if N and Its Double Exist	1346	https://leetcode.com/problems/check-if-n-and-its-double-exist/	"def checkIfExist(self, arr):"
911	leetcodeTitles	python	Get Equal Substrings Within Budget	1208	https://leetcode.com/problems/get-equal-substrings-within-budget/	"def equalSubstring(self, s, t, maxCost):"
912	leetcodeTitles	python	Number of Restricted Paths From First to Last Node	1786	https://leetcode.com/problems/number-of-restricted-paths-from-first-to-last-node/	"def countRestrictedPaths(self, n, edges):"
913	leetcodeTitles	python	Unique Paths	62	https://leetcode.com/problems/unique-paths/	"def uniquePaths(self, m, n):"
914	leetcodeTitles	python	Combination Sum II	40	https://leetcode.com/problems/combination-sum-ii/	"def combinationSum2(self, candidates, target):"
915	leetcodeTitles	python	Find Target Indices After Sorting Array	2089	https://leetcode.com/problems/find-target-indices-after-sorting-array/	"def targetIndices(self, nums, target):"
916	leetcodeTitles	python	Add Binary	67	https://leetcode.com/problems/add-binary/	"def addBinary(self, a, b):"
917	leetcodeTitles	python	Permutations	46	https://leetcode.com/problems/permutations/	"def permute(self, nums):"
918	leetcodeTitles	python	Even Odd Tree	1609	https://leetcode.com/problems/even-odd-tree/	"def isEvenOddTree(self, root):"
919	leetcodeTitles	python	Broken Calculator	991	https://leetcode.com/problems/broken-calculator/	"def brokenCalc(self, startValue, target):"
920	leetcodeTitles	python	Kth Distinct String in an Array	2053	https://leetcode.com/problems/kth-distinct-string-in-an-array/	"def kthDistinct(self, arr, k):"
921	leetcodeTitles	python	Find if Path Exists in Graph	1971	https://leetcode.com/problems/find-if-path-exists-in-graph/	"def validPath(self, n, edges, source, destination):"
922	leetcodeTitles	python	Excel Sheet Column Number	171	https://leetcode.com/problems/excel-sheet-column-number/	"def titleToNumber(self, columnTitle):"
923	leetcodeTitles	python	Two Sum IV - Input a BST	653	https://leetcode.com/problems/two-sum-iv-input-is-a-bst/	"def findTarget(self, root, k):"
924	leetcodeTitles	python	Matrix Cells in Distance Order	1030	https://leetcode.com/problems/matrix-cells-in-distance-order/	"def allCellsDistOrder(self, rows, cols, rCenter, cCenter):"
925	leetcodeTitles	python	Plates Between Candles	2055	https://leetcode.com/problems/plates-between-candles/	"def platesBetweenCandles(self, s, queries):"
926	leetcodeTitles	python	Reorder List	143	https://leetcode.com/problems/reorder-list/	"def reorderList(self, head):"
927	leetcodeTitles	python	Restore IP Addresses	93	https://leetcode.com/problems/restore-ip-addresses/	"def restoreIpAddresses(self, s):"
928	leetcodeTitles	python	Count Primes	204	https://leetcode.com/problems/count-primes/	"def countPrimes(self, n):"
929	leetcodeTitles	python	Number of Nodes in the Sub-Tree With the Same Label	1519	https://leetcode.com/problems/number-of-nodes-in-the-sub-tree-with-the-same-label/	"def countSubTrees(self, n, edges, labels):"
930	leetcodeTitles	python	Maximum Product of Two Elements in an Array	1464	https://leetcode.com/problems/maximum-product-of-two-elements-in-an-array/	"def maxProduct(self, nums):"
931	leetcodeTitles	python	Most Frequent Subtree Sum	508	https://leetcode.com/problems/most-frequent-subtree-sum/	"def findFrequentTreeSum(self, root):"
932	leetcodeTitles	python	Best Time to Buy and Sell Stock	121	https://leetcode.com/problems/best-time-to-buy-and-sell-stock/	"def maxProfit(self, prices):"
933	leetcodeTitles	python	Nim Game	292	https://leetcode.com/problems/nim-game/	"def canWinNim(self, n):"
934	leetcodeTitles	python	Number of People Aware of a Secret	2327	https://leetcode.com/problems/number-of-people-aware-of-a-secret/	"def peopleAwareOfSecret(self, n, delay, forget):"
935	leetcodeTitles	python	Champagne Tower	799	https://leetcode.com/problems/champagne-tower/	"def champagneTower(self, poured, query_row, query_glass):"
936	leetcodeTitles	python	Remove Palindromic Subsequences	1332	https://leetcode.com/problems/remove-palindromic-subsequences/	"def removePalindromeSub(self, s):"
937	leetcodeTitles	python	Delete Columns to Make Sorted II	955	https://leetcode.com/problems/delete-columns-to-make-sorted-ii/	"def minDeletionSize(self, strs):"
938	leetcodeTitles	python	Integer Replacement	397	https://leetcode.com/problems/integer-replacement/	"def integerReplacement(self, n):"
939	leetcodeTitles	python	Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit	1438	https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit/	"def longestSubarray(self, nums, limit):"
940	leetcodeTitles	python	Sort Array By Parity II	922	https://leetcode.com/problems/sort-array-by-parity-ii/	"def sortArrayByParityII(self, nums):"
941	leetcodeTitles	python	Maximum Product Subarray	152	https://leetcode.com/problems/maximum-product-subarray/	"def maxProduct(self, nums):"
942	leetcodeTitles	python	Beautiful Array	932	https://leetcode.com/problems/beautiful-array/	"def beautifulArray(self, n):"
943	leetcodeTitles	python	Widest Vertical Area Between Two Points Containing No Points	1637	https://leetcode.com/problems/widest-vertical-area-between-two-points-containing-no-points/	"def maxWidthOfVerticalArea(self, points):"
944	leetcodeTitles	python	Final Value of Variable After Performing Operations	2011	https://leetcode.com/problems/final-value-of-variable-after-performing-operations/	"def finalValueAfterOperations(self, operations):"
945	leetcodeTitles	python	Find the Minimum and Maximum Number of Nodes Between Critical Points	2058	https://leetcode.com/problems/find-the-minimum-and-maximum-number-of-nodes-between-critical-points/	"def nodesBetweenCriticalPoints(self, head):"
946	leetcodeTitles	python	Minimum Operations to Make the Array Alternating	2170	https://leetcode.com/problems/minimum-operations-to-make-the-array-alternating/	"def minimumOperations(self, nums):"
947	leetcodeTitles	python	Execution of All Suffix Instructions Staying in a Grid	2120	https://leetcode.com/problems/execution-of-all-suffix-instructions-staying-in-a-grid/	"def executeInstructions(self, n, startPos, s):"
948	leetcodeTitles	python	Remove Digit From Number to Maximize Result	2259	https://leetcode.com/problems/remove-digit-from-number-to-maximize-result/	"def removeDigit(self, number, digit):"
949	leetcodeTitles	python	Intersection of Two Linked Lists	160	https://leetcode.com/problems/intersection-of-two-linked-lists/	"def getIntersectionNode(self, headA, headB):"
950	leetcodeTitles	python	Kth Missing Positive Number	1539	https://leetcode.com/problems/kth-missing-positive-number/	"def findKthPositive(self, arr, k):"
951	leetcodeTitles	python	Largest Perimeter Triangle	976	https://leetcode.com/problems/largest-perimeter-triangle/	"def largestPerimeter(self, nums):"
952	leetcodeTitles	python	Apply Discount Every n Orders	1357	https://leetcode.com/problems/apply-discount-every-n-orders/	"def getBill(self, product, amount):"
953	leetcodeTitles	python	Partition to K Equal Sum Subsets	698	https://leetcode.com/problems/partition-to-k-equal-sum-subsets/	"def canPartitionKSubsets(self, nums, k):"
954	leetcodeTitles	python	Minimum Cost Homecoming of a Robot in a Grid	2087	https://leetcode.com/problems/minimum-cost-homecoming-of-a-robot-in-a-grid/	"def minCost(self, startPos, homePos, rowCosts, colCosts):"
955	leetcodeTitles	python	Number of Ways to Split Array	2270	https://leetcode.com/problems/number-of-ways-to-split-array/	"def waysToSplitArray(self, nums):"
